event_id,game,platform,player_id,play_time,timestamp
1,Call of Duty,PS4,9017,223,2025-10-01 01:37:31
2,Spider-Man 2,PS5,9534,118,2025-10-01 21:06:14
3,FIFA 25,PS4,3806,64,2025-10-01 11:26:30
4,Horizon Zero Dawn,PS4,8181,211,2025-10-01 07:25:49
5,GTA V,PS5,1700,94,2025-10-01 12:14:36
6,Horizon Zero Dawn,PS4,2341,149,2025-10-01 14:44:00
7,Horizon Zero Dawn,PS4,8010,31,2025-10-01 06:08:34
8,Spider-Man 2,PS4,9969,293,2025-10-01 05:42:06
9,FIFA 25,PS5,2603,134,2025-10-01 01:44:10
10,God of War,PS5,4194,173,2025-10-01 20:58:12
11,FIFA 25,PS5,1297,256,2025-10-01 08:28:20
12,Horizon Zero Dawn,PS5,9757,143,2025-10-01 09:08:08
13,Horizon Zero Dawn,PS5,3306,217,2025-10-01 14:18:18
14,Horizon Zero Dawn,PS4,4036,152,2025-10-01 11:21:36
15,Horizon Zero Dawn,PS5,7257,84,2025-10-01 07:06:49
16,GTA V,PS5,1462,111,2025-10-01 17:45:35
17,God of War,PS4,4375,123,2025-10-01 10:54:03
18,FIFA 25,PS4,2765,277,2025-10-01 16:15:37
19,Spider-Man 2,PS4,4236,62,2025-10-01 00:08:25
20,FIFA 25,PS5,9004,299,2025-10-01 23:52:11
21,Spider-Man 2,PS5,2832,255,2025-10-01 09:51:53
22,Spider-Man 2,PS5,7068,99,2025-10-01 22:44:03
23,FIFA 25,PS5,5222,120,2025-10-01 16:30:24
24,Spider-Man 2,PS4,2746,170,2025-10-01 16:45:58
25,Spider-Man 2,PS4,7839,173,2025-10-01 00:14:19
26,GTA V,PS4,7547,268,2025-10-01 19:31:13
27,Spider-Man 2,PS4,9060,130,2025-10-01 09:58:00
28,GTA V,PS4,5150,56,2025-10-01 19:46:16
29,GTA V,PS5,2473,40,2025-10-01 23:47:25
30,God of War,PS4,2461,162,2025-10-01 21:45:20
31,Horizon Zero Dawn,PS5,7883,241,2025-10-01 04:41:53
32,Horizon Zero Dawn,PS5,6276,197,2025-10-01 01:41:34
33,GTA V,PS5,7825,123,2025-10-01 05:06:11
34,God of War,PS4,5978,80,2025-10-01 17:35:39
35,FIFA 25,PS5,6556,113,2025-10-01 10:27:16
36,FIFA 25,PS5,9956,244,2025-10-01 10:02:10
37,Horizon Zero Dawn,PS4,5927,207,2025-10-01 18:05:41
38,Spider-Man 2,PS5,5591,29,2025-10-01 20:27:13
39,God of War,PS5,8029,129,2025-10-01 09:56:29
40,Call of Duty,PS4,4748,239,2025-10-01 00:18:42
41,Call of Duty,PS4,1776,15,2025-10-01 20:56:49
42,Horizon Zero Dawn,PS5,1326,11,2025-10-01 16:08:38
43,GTA V,PS5,7607,107,2025-10-01 23:00:18
44,Horizon Zero Dawn,PS4,7495,290,2025-10-01 08:02:32
45,Call of Duty,PS5,2205,91,2025-10-01 18:10:18
46,Call of Duty,PS5,2559,89,2025-10-01 08:05:43
47,Horizon Zero Dawn,PS5,5097,103,2025-10-01 14:17:45
48,God of War,PS5,6867,229,2025-10-01 06:03:47
49,FIFA 25,PS4,7919,174,2025-10-01 10:25:44
50,God of War,PS4,6928,158,2025-10-01 18:41:20
51,FIFA 25,PS4,3846,261,2025-10-01 12:17:00
52,FIFA 25,PS4,9805,183,2025-10-01 02:02:19
53,Spider-Man 2,PS5,5474,232,2025-10-01 02:52:52
54,God of War,PS4,1731,275,2025-10-01 16:46:11
55,Spider-Man 2,PS5,7558,26,2025-10-01 18:06:29
56,God of War,PS4,8245,25,2025-10-01 15:53:30
57,FIFA 25,PS5,8392,158,2025-10-01 01:54:55
58,Spider-Man 2,PS4,5951,15,2025-10-01 21:19:22
59,FIFA 25,PS4,6038,223,2025-10-01 16:41:24
60,Call of Duty,PS4,2535,49,2025-10-01 15:40:19
61,Horizon Zero Dawn,PS5,7492,59,2025-10-01 03:00:49
62,Spider-Man 2,PS5,9570,170,2025-10-01 14:23:46
63,FIFA 25,PS4,8073,288,2025-10-01 18:55:59
64,GTA V,PS5,8482,147,2025-10-01 09:30:24
65,Call of Duty,PS5,5769,136,2025-10-01 11:08:33
66,God of War,PS5,3494,110,2025-10-01 08:16:28
67,GTA V,PS5,3677,252,2025-10-01 17:32:20
68,Spider-Man 2,PS4,6921,80,2025-10-01 17:28:54
69,GTA V,PS4,8883,144,2025-10-01 20:47:40
70,GTA V,PS5,2141,217,2025-10-01 18:36:37
71,Spider-Man 2,PS5,4700,263,2025-10-01 02:55:20
72,Horizon Zero Dawn,PS5,5938,248,2025-10-01 14:05:16
73,Call of Duty,PS4,9653,131,2025-10-01 09:29:10
74,Horizon Zero Dawn,PS4,9969,207,2025-10-01 09:29:52
75,Spider-Man 2,PS4,8623,18,2025-10-01 19:36:04
76,GTA V,PS4,1458,292,2025-10-01 11:52:03
77,FIFA 25,PS5,1056,12,2025-10-01 09:05:52
78,God of War,PS5,9451,146,2025-10-01 07:37:04
79,God of War,PS4,5130,234,2025-10-01 00:59:24
80,Call of Duty,PS4,6282,232,2025-10-01 00:04:13
81,Call of Duty,PS4,5840,76,2025-10-01 12:04:25
82,Horizon Zero Dawn,PS5,7006,28,2025-10-01 01:23:29
83,Spider-Man 2,PS5,3026,107,2025-10-01 19:25:25
84,Spider-Man 2,PS5,7452,207,2025-10-01 16:39:55
85,Call of Duty,PS5,4614,140,2025-10-01 00:39:26
86,GTA V,PS4,4514,131,2025-10-01 04:12:48
87,God of War,PS4,9083,206,2025-10-01 05:56:32
88,Spider-Man 2,PS4,7377,293,2025-10-01 10:29:15
89,GTA V,PS4,2635,131,2025-10-01 10:44:50
90,Horizon Zero Dawn,PS4,4848,81,2025-10-01 20:55:40
91,GTA V,PS5,3553,184,2025-10-01 01:53:52
92,FIFA 25,PS4,9868,47,2025-10-01 05:53:43
93,Horizon Zero Dawn,PS4,5547,180,2025-10-01 10:50:03
94,Call of Duty,PS5,5737,55,2025-10-01 00:25:47
95,Horizon Zero Dawn,PS4,6070,54,2025-10-01 19:21:24
96,Call of Duty,PS4,8405,283,2025-10-01 03:40:20
97,God of War,PS5,9953,205,2025-10-01 16:20:22
98,Spider-Man 2,PS4,3887,48,2025-10-01 02:43:42
99,Call of Duty,PS5,2409,261,2025-10-01 14:06:26
100,Call of Duty,PS5,9838,171,2025-10-01 00:17:45
101,Spider-Man 2,PS4,5198,59,2025-10-01 20:19:41
102,FIFA 25,PS4,3836,60,2025-10-01 07:11:55
103,FIFA 25,PS5,2987,125,2025-10-01 04:29:00
104,GTA V,PS5,9791,245,2025-10-01 03:53:58
105,Horizon Zero Dawn,PS5,8786,7,2025-10-01 12:16:02
106,God of War,PS5,7863,177,2025-10-01 06:11:53
107,God of War,PS5,2922,106,2025-10-01 13:22:36
108,God of War,PS4,4727,212,2025-10-01 05:19:28
109,GTA V,PS5,7254,62,2025-10-01 09:28:35
110,GTA V,PS5,8954,204,2025-10-01 05:26:52
111,Spider-Man 2,PS5,7461,25,2025-10-01 02:45:32
112,Spider-Man 2,PS4,2543,250,2025-10-01 10:39:29
113,God of War,PS5,3523,219,2025-10-01 04:41:18
114,Spider-Man 2,PS5,3935,179,2025-10-01 15:59:59
